Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,58.20,59.07,57.26,57.96,2868900,57.96
2013-12-31,56.76,58.56,56.76,58.50,2398800,58.50
2013-12-30,57.34,57.69,56.30,56.55,2333200,56.55
2013-12-27,58.51,58.60,57.04,57.37,1841700,57.37
2013-12-26,58.21,58.79,57.98,58.48,2383500,58.48
2013-12-24,58.25,58.38,57.67,58.21,797600,58.21
2013-12-23,56.72,58.44,56.54,58.31,3349000,58.31
2013-12-20,56.37,57.04,56.07,56.16,5781800,56.16
2013-12-19,57.22,57.51,56.22,56.39,2696900,56.39
2013-12-18,57.29,57.69,55.74,57.52,2966700,57.52
2013-12-17,58.07,58.24,56.88,56.98,3273300,56.98
2013-12-16,56.51,58.58,56.47,58.37,3611900,58.37
2013-12-13,56.81,57.15,55.69,56.30,2733400,56.30
2013-12-12,56.00,57.38,55.96,56.94,3091800,56.94
2013-12-11,57.54,57.78,56.04,56.25,3663900,56.25
2013-12-10,58.60,58.60,55.94,57.72,4946200,57.72
2013-12-09,58.41,59.37,57.84,57.99,5705200,57.99
2013-12-06,56.20,58.83,56.13,57.70,4889100,57.70
2013-12-05,56.11,56.60,55.49,55.61,3321500,55.61
2013-12-04,56.23,57.21,54.66,55.78,5934300,55.78
