Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,33.23,33.23,32.69,32.79,1045100,32.79
2013-12-31,33.31,33.44,33.13,33.28,614000,33.28
2013-12-30,33.25,33.37,33.13,33.24,523700,33.24
2013-12-27,33.39,33.42,33.12,33.20,475800,33.20
2013-12-26,33.23,33.31,32.97,33.30,462000,33.30
2013-12-24,32.97,33.19,32.96,33.08,439000,33.08
2013-12-23,33.16,33.17,32.90,33.02,895100,33.02
2013-12-20,32.77,33.09,32.56,33.06,1458800,33.06
2013-12-19,32.36,33.07,32.23,32.74,2927800,32.74
2013-12-18,31.80,32.51,31.67,32.46,2720200,32.46
2013-12-17,31.47,31.67,31.19,31.54,1337900,31.54
2013-12-16,31.40,31.56,31.25,31.49,1359400,31.39
2013-12-13,31.24,31.40,30.95,31.29,1255500,31.19
2013-12-12,30.97,31.34,30.88,31.20,1206400,31.10
2013-12-11,31.24,31.28,30.95,31.03,1535500,30.93
2013-12-10,30.82,31.29,30.78,31.18,1840200,31.08
2013-12-09,30.86,30.96,30.67,30.92,1384500,30.82
2013-12-06,30.66,31.11,30.47,30.76,2758800,30.66
2013-12-05,30.52,30.63,30.17,30.34,1916300,30.24
2013-12-04,31.15,31.18,30.31,30.63,2577900,30.53
