Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,135.07,135.47,133.71,133.84,1619400,133.84
2013-12-31,134.96,135.61,134.57,135.50,1384900,135.50
2013-12-30,134.33,135.18,133.92,134.94,661600,134.94
2013-12-27,133.33,134.59,133.32,134.46,649900,134.46
2013-12-26,134.14,134.14,133.00,133.33,981000,133.33
2013-12-24,132.51,134.32,132.51,134.04,444000,134.04
2013-12-23,133.01,133.65,132.45,132.50,1916800,132.50
2013-12-20,133.22,134.00,132.37,132.46,3256300,132.46
2013-12-19,134.60,134.60,132.72,133.74,1812100,133.74
2013-12-18,133.01,134.50,132.21,134.49,1566300,134.49
2013-12-17,132.26,134.14,131.99,133.03,2511200,133.03
2013-12-16,131.80,132.66,130.92,132.09,2419300,132.09
2013-12-13,131.60,135.99,129.91,131.41,6739300,131.41
2013-12-12,131.48,132.88,130.69,131.06,2486400,131.06
2013-12-11,132.26,132.45,130.83,131.50,2730600,131.50
2013-12-10,130.95,132.82,130.62,131.86,2700800,131.86
2013-12-09,130.53,132.21,129.69,130.44,2158200,130.44
2013-12-06,132.64,133.20,130.55,131.00,4312600,131.00
2013-12-05,131.76,139.00,130.56,132.53,6906700,132.53
2013-12-04,133.77,134.03,131.55,132.20,4513800,132.20
