Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,69.47,69.56,68.41,68.73,4734200,68.73
2013-12-31,69.67,70.06,69.52,69.72,3140400,69.72
2013-12-30,69.86,70.01,69.43,69.67,2545500,69.67
2013-12-27,70.00,70.10,69.20,69.64,2168300,69.64
2013-12-26,69.50,70.08,69.47,70.00,2197800,70.00
2013-12-24,68.69,69.48,68.66,69.40,1289800,69.40
2013-12-23,68.54,68.94,68.25,68.69,3467000,68.69
2013-12-20,68.00,68.90,68.00,68.34,7416900,68.34
2013-12-19,67.35,67.99,67.08,67.90,4033200,67.90
2013-12-18,66.04,67.64,65.46,67.60,4197700,67.60
2013-12-17,66.22,66.39,65.40,65.80,3908600,65.80
2013-12-16,66.08,66.49,65.80,66.32,2744200,66.32
2013-12-13,65.93,66.08,65.48,65.55,3614900,65.55
2013-12-12,66.24,66.48,65.67,65.82,3696600,65.82
2013-12-11,66.75,66.97,66.20,66.42,5065500,66.42
2013-12-10,65.50,66.94,65.48,66.61,5735100,66.61
2013-12-09,66.50,66.62,65.39,65.49,6463800,65.49
2013-12-06,65.94,66.72,65.53,66.57,3410000,66.57
2013-12-05,65.43,65.90,65.20,65.59,3506900,65.59
2013-12-04,64.88,65.94,64.73,65.44,4249200,65.44
