Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,36.75,36.75,36.19,36.29,1467200,36.29
2013-12-31,36.57,36.94,36.48,36.76,1238900,36.76
2013-12-30,36.64,36.70,36.19,36.43,1404100,36.43
2013-12-27,36.34,37.15,36.14,36.61,3797800,36.61
2013-12-26,36.32,36.69,36.08,36.20,1604900,36.20
2013-12-24,36.03,36.65,35.85,36.00,1474400,36.00
2013-12-23,36.38,36.85,35.65,36.38,6549300,36.38
2013-12-20,32.71,37.43,32.66,37.29,12719400,37.29
2013-12-19,32.55,32.76,32.42,32.57,1457500,32.57
2013-12-18,32.10,32.84,31.94,32.79,2419200,32.79
2013-12-17,32.16,32.24,31.76,32.10,1994000,32.10
2013-12-16,31.60,32.33,31.48,32.11,1933600,32.11
2013-12-13,31.59,31.81,31.33,31.46,1347800,31.46
2013-12-12,31.58,31.74,31.40,31.51,1401100,31.51
2013-12-11,32.22,32.30,31.47,31.59,1597200,31.59
2013-12-10,32.28,32.65,32.04,32.24,1352600,32.22
2013-12-09,32.65,32.84,32.31,32.41,1433200,32.39
2013-12-06,32.70,32.87,32.42,32.62,1400700,32.60
2013-12-05,31.57,32.52,31.54,32.30,1766600,32.28
2013-12-04,32.45,32.55,31.59,32.26,2988100,32.24
