Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,40.88,41.08,40.46,40.66,3017300,40.66
2013-12-31,41.19,41.32,40.66,41.04,2621200,41.04
2013-12-30,41.14,41.42,41.04,41.18,2148100,41.18
2013-12-27,40.66,41.44,40.66,41.21,4391300,41.21
2013-12-26,39.40,40.72,39.40,40.62,1538400,40.62
2013-12-24,40.07,40.26,40.05,40.25,988700,40.25
2013-12-23,40.04,40.27,39.80,40.17,2888300,40.17
2013-12-20,38.95,39.70,38.88,39.60,3985600,39.60
2013-12-19,38.91,38.95,38.55,38.91,2193300,38.91
2013-12-18,37.89,39.14,37.72,39.07,3243200,39.07
2013-12-17,37.96,38.13,37.83,37.95,2222300,37.95
2013-12-16,37.48,38.12,37.36,37.93,2771300,37.93
2013-12-13,37.75,37.75,37.10,37.35,2919700,37.35
2013-12-12,37.18,37.92,37.12,37.79,3394400,37.79
2013-12-11,37.47,37.71,37.13,37.18,2460300,37.18
2013-12-10,37.71,38.12,37.51,37.53,2218400,37.53
2013-12-09,37.99,38.00,37.52,37.74,2207300,37.74
2013-12-06,37.20,37.90,37.14,37.75,3015200,37.75
2013-12-05,37.51,37.69,37.17,37.25,2621300,37.25
2013-12-04,37.66,37.97,37.10,37.51,4059300,37.51
