Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,34.93,34.99,34.26,34.33,1205800,34.33
2013-12-31,35.04,35.16,34.92,35.08,861000,35.08
2013-12-30,35.10,35.16,34.89,34.95,786600,34.95
2013-12-27,35.24,35.40,34.90,35.08,931500,35.08
2013-12-26,35.06,35.23,34.83,35.16,972700,35.16
2013-12-24,34.70,34.96,34.62,34.86,611700,34.86
2013-12-23,34.70,34.95,34.56,34.76,1152800,34.76
2013-12-20,34.34,34.48,34.08,34.38,2186000,34.38
2013-12-19,34.62,34.75,34.21,34.29,2552800,34.29
2013-12-18,34.25,34.64,33.63,34.62,2614800,34.62
2013-12-17,34.06,34.16,33.90,34.04,1813000,34.04
2013-12-16,34.02,34.39,33.98,34.13,2517200,34.13
2013-12-13,33.99,34.31,33.70,33.91,1325200,33.91
2013-12-12,34.00,34.23,33.74,33.78,1789400,33.78
2013-12-11,34.30,34.39,34.03,34.10,1568700,34.10
2013-12-10,34.18,34.53,33.97,34.30,1117100,34.30
2013-12-09,34.37,34.58,34.18,34.30,1287100,34.30
2013-12-06,33.78,34.32,33.68,34.31,1594300,34.31
2013-12-05,33.76,34.02,33.14,33.36,2464000,33.36
2013-12-04,33.35,34.01,33.34,33.91,2887700,33.91
