Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,168.40,169.82,166.64,167.11,2346100,167.11
2013-12-31,166.41,168.24,166.37,168.00,1427600,168.00
2013-12-30,166.10,166.71,165.33,166.05,920200,166.05
2013-12-27,166.65,167.00,165.30,166.05,674100,166.05
2013-12-26,164.37,166.61,164.35,166.42,1173100,166.42
2013-12-24,164.86,166.00,164.17,165.64,769200,165.64
2013-12-23,163.51,165.13,163.04,164.95,1290700,164.95
2013-12-20,164.23,164.88,163.25,163.60,3115900,163.60
2013-12-19,162.97,164.32,162.41,164.19,1875600,164.19
2013-12-18,161.60,163.63,160.04,163.56,2330500,163.56
2013-12-17,161.84,161.84,160.69,161.03,1490900,161.03
2013-12-16,161.37,162.63,161.28,161.70,1770300,161.70
2013-12-13,161.33,162.33,160.46,160.75,1291600,160.75
2013-12-12,160.50,161.83,160.17,160.97,1428300,160.97
2013-12-11,162.80,163.50,160.50,160.70,2120400,160.70
2013-12-10,163.69,164.81,162.38,162.76,1753300,162.76
2013-12-09,164.56,165.27,163.88,164.50,1776400,164.50
2013-12-06,163.90,165.14,163.08,164.34,1732400,164.34
2013-12-05,162.75,163.45,161.79,162.37,1843800,162.37
2013-12-04,162.07,162.86,160.02,161.39,1503600,161.39
