Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,104.63,104.91,102.82,103.32,2799700,103.32
2013-12-31,104.94,105.37,104.67,105.08,1778400,105.08
2013-12-30,104.95,105.06,104.59,104.92,1479800,104.92
2013-12-27,105.00,105.09,104.58,104.72,3433500,104.72
2013-12-26,104.35,104.90,104.04,104.67,2108300,104.67
2013-12-24,104.13,104.50,103.92,104.46,904500,104.46
2013-12-23,103.80,104.07,103.45,103.96,2155500,103.96
2013-12-20,103.23,104.56,103.00,103.33,8363500,103.33
2013-12-19,102.73,103.24,102.40,103.18,2508600,103.18
2013-12-18,102.13,103.04,101.24,102.98,4224900,102.98
2013-12-17,102.23,102.60,101.69,101.98,3190600,101.98
2013-12-16,101.64,102.40,101.63,102.13,3116600,102.13
2013-12-13,101.05,101.77,100.65,101.38,2712600,101.38
2013-12-12,100.76,101.49,100.76,100.95,2303200,100.95
2013-12-11,101.95,102.08,100.67,100.87,2982400,100.87
2013-12-10,102.15,102.41,101.55,101.73,2199300,101.73
2013-12-09,103.02,103.04,101.97,102.34,2373400,102.34
2013-12-06,102.38,102.92,101.94,102.43,3723900,102.43
2013-12-05,101.46,102.08,101.46,101.63,2230900,101.63
2013-12-04,101.87,102.24,100.75,101.72,2249300,101.72
