Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,221.54,222.03,219.50,221.01,2663500,221.01
2013-12-31,221.52,222.72,221.03,222.68,1612100,222.68
2013-12-30,220.59,221.62,219.70,220.91,1485000,220.91
2013-12-27,221.00,221.40,219.15,219.67,1310500,219.67
2013-12-26,218.99,220.25,218.99,220.20,1224700,220.20
2013-12-24,218.47,219.59,217.02,218.73,1301900,218.73
2013-12-23,216.99,218.83,216.55,218.03,1998700,218.03
2013-12-20,216.72,218.20,215.90,215.97,5815900,215.97
2013-12-19,214.93,217.87,214.54,216.08,3348700,216.08
2013-12-18,213.10,215.48,210.00,215.35,4035500,215.35
2013-12-17,208.62,213.81,207.84,213.25,5161800,213.25
2013-12-16,208.04,210.57,207.29,207.75,3694900,207.75
2013-12-13,204.51,208.00,203.92,207.36,4418600,207.36
2013-12-12,204.97,205.65,202.50,203.44,2867300,203.44
2013-12-11,201.00,207.91,201.00,205.66,10082000,205.66
2013-12-10,200.91,201.69,199.43,199.43,3911800,199.43
2013-12-09,201.78,202.70,201.36,201.59,3166800,201.59
2013-12-06,203.70,203.84,201.00,201.87,2276700,201.87
2013-12-05,202.19,202.94,201.52,201.71,3315000,201.71
2013-12-04,201.78,203.33,201.08,202.74,2934800,202.74
