Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,63.02,63.45,62.00,62.38,1769600,62.38
2013-12-31,62.26,62.50,62.08,62.34,1114200,62.34
2013-12-30,61.70,62.29,61.60,62.07,1090700,62.07
2013-12-27,62.34,62.48,60.97,61.58,1683600,61.58
2013-12-26,61.50,62.19,61.32,62.08,1385900,62.08
2013-12-24,61.05,61.35,60.74,61.20,1203300,61.20
2013-12-23,61.75,61.90,60.12,60.96,3189000,60.96
2013-12-20,239.30,245.79,237.99,245.79,23002800,61.45
2013-12-19,239.12,240.43,238.02,238.48,1735600,59.62
2013-12-18,235.83,239.63,233.64,239.34,1800400,59.83
2013-12-17,235.26,235.99,233.86,235.07,1461200,58.77
2013-12-16,234.97,235.70,233.66,234.69,1878800,58.67
2013-12-13,234.00,234.91,231.20,234.48,3049200,58.62
2013-12-12,229.50,233.09,228.94,232.24,2933600,58.06
2013-12-11,231.81,232.69,228.68,229.20,2352000,57.30
2013-12-10,232.71,233.14,228.56,231.25,2615600,57.81
2013-12-09,233.64,234.28,232.06,232.94,1853200,58.24
2013-12-06,243.28,243.28,232.59,233.57,1575600,58.39
2013-12-05,233.49,235.46,232.35,233.00,2256400,57.99
2013-12-04,233.79,234.50,231.55,233.55,1668800,58.12
