Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,50.14,50.50,49.57,49.87,4571100,49.87
2013-12-31,48.86,50.54,48.85,50.40,6408000,50.40
2013-12-30,48.75,48.85,48.19,48.64,4040000,48.64
2013-12-27,48.87,48.87,47.88,48.67,3703000,48.67
2013-12-26,48.56,48.96,48.51,48.76,3839400,48.76
2013-12-24,48.35,48.69,48.05,48.63,2588600,48.63
2013-12-23,47.86,48.38,47.57,48.36,5452200,48.36
2013-12-20,46.96,47.60,46.57,47.49,9192200,47.49
2013-12-19,47.94,48.20,46.56,46.66,9668700,46.66
2013-12-18,47.22,48.15,46.46,48.10,8354200,48.10
2013-12-17,46.64,47.28,46.44,46.99,7020800,46.99
2013-12-16,46.55,47.36,46.55,46.75,7268300,46.75
2013-12-13,45.90,46.26,45.16,46.13,6351000,46.13
2013-12-12,45.84,46.49,45.82,45.88,6696900,45.88
2013-12-11,46.62,46.62,45.48,46.04,9245200,46.04
2013-12-10,45.76,46.76,45.09,46.48,12324500,46.48
2013-12-09,47.07,47.98,46.07,46.14,13661700,46.14
2013-12-06,45.77,47.20,45.70,46.58,12278800,46.58
2013-12-05,46.15,46.32,45.30,45.35,15090000,45.35
2013-12-04,45.39,46.28,44.53,45.02,18724600,45.02
