Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,59.34,59.41,58.51,58.68,497000,58.68
2013-12-31,59.40,59.70,58.85,59.42,513500,59.42
2013-12-30,58.54,59.50,58.52,59.49,940900,59.49
2013-12-27,58.65,58.65,58.07,58.64,360100,58.64
2013-12-26,58.44,58.51,57.85,58.27,441900,58.27
2013-12-24,57.66,58.36,57.45,57.99,322500,57.99
2013-12-23,57.66,58.06,57.42,57.69,549400,57.69
2013-12-20,57.70,57.99,57.30,57.34,1114400,57.34
2013-12-19,57.49,57.59,56.59,57.16,447900,57.16
2013-12-18,56.46,58.07,56.15,57.74,698500,57.74
2013-12-17,56.42,56.67,55.99,56.49,496100,56.49
2013-12-16,56.36,56.98,56.14,56.71,743000,56.71
2013-12-13,56.75,56.75,55.30,56.13,864600,56.13
2013-12-12,53.87,54.55,53.65,54.41,533700,54.41
2013-12-11,54.97,55.00,53.69,53.90,662200,53.90
2013-12-10,55.47,56.09,54.90,54.96,484300,54.96
2013-12-09,55.98,56.56,55.26,55.61,591900,55.61
2013-12-06,55.12,56.87,55.12,55.92,808900,55.92
2013-12-05,54.24,54.79,53.94,54.62,588600,54.62
2013-12-04,54.92,55.41,53.55,54.45,707500,54.45
