Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,74.07,74.15,72.88,73.83,966800,73.83
2013-12-31,74.07,74.70,73.71,74.30,782400,74.30
2013-12-30,73.60,74.35,72.84,73.89,624700,73.89
2013-12-27,74.01,74.08,72.99,73.45,633500,73.45
2013-12-26,73.63,74.05,72.76,73.81,698700,73.81
2013-12-24,73.50,73.87,72.84,73.49,449500,73.49
2013-12-23,72.40,73.89,72.00,73.48,1496800,73.48
2013-12-20,70.53,71.93,69.93,71.83,3661900,71.83
2013-12-19,67.00,71.00,67.00,69.95,3968900,69.95
2013-12-18,66.10,69.61,66.00,68.63,3004500,68.63
2013-12-17,64.59,65.81,63.65,65.58,1345000,65.58
2013-12-16,65.68,66.64,63.91,64.76,1212900,64.76
2013-12-13,65.11,65.91,64.12,65.18,1146500,65.18
2013-12-12,64.38,66.50,64.12,65.36,1262400,65.36
2013-12-11,66.12,66.23,64.18,64.39,1195800,64.39
2013-12-10,66.73,67.12,65.41,66.23,1091300,66.23
2013-12-09,66.56,66.87,65.98,66.75,1451500,66.75
2013-12-06,67.13,67.28,65.77,66.45,1240000,66.45
2013-12-05,67.14,67.43,65.98,66.45,1561600,66.45
2013-12-04,67.51,68.10,66.80,67.33,1556800,67.33
