Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,57.20,57.25,56.52,56.63,5370600,56.63
2013-12-31,57.89,57.91,57.16,57.44,2949200,57.44
2013-12-30,57.46,57.85,57.13,57.84,2874300,57.84
2013-12-27,57.65,58.32,57.31,57.43,4282200,57.43
2013-12-26,57.70,57.85,57.33,57.67,2487300,57.67
2013-12-24,57.66,57.90,57.38,57.61,1967800,57.61
2013-12-23,59.30,59.30,57.26,57.54,6887600,57.54
2013-12-20,55.45,59.15,54.86,59.04,15009600,59.04
2013-12-19,57.17,57.23,56.12,56.94,6123700,56.94
2013-12-18,56.40,57.53,55.87,57.34,5900200,57.34
2013-12-17,56.93,57.08,56.25,56.25,6521800,56.25
2013-12-16,57.12,57.48,56.87,56.88,5445800,56.88
2013-12-13,57.48,57.48,56.68,57.01,4230000,57.01
2013-12-12,57.56,57.77,56.95,57.55,7672000,57.55
2013-12-11,56.75,57.98,56.56,57.68,7121300,57.68
2013-12-10,56.29,57.35,56.06,56.60,6250900,56.60
2013-12-09,56.76,56.94,56.21,56.66,3884800,56.66
2013-12-06,56.40,56.80,56.02,56.71,5285700,56.71
2013-12-05,57.30,57.57,55.92,56.11,9734700,56.11
2013-12-04,58.60,58.61,57.30,57.57,7922500,57.57
