Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,100.00,100.17,99.00,99.22,335600,99.22
2013-12-31,100.50,100.50,99.65,100.00,322600,100.00
2013-12-30,99.56,100.85,99.44,100.30,532700,100.30
2013-12-27,99.63,100.18,99.12,99.36,267400,99.36
2013-12-26,99.61,100.07,99.26,99.60,233100,99.60
2013-12-24,99.40,99.75,99.31,99.60,104600,99.60
2013-12-23,100.18,100.21,99.15,99.47,406100,99.47
2013-12-20,99.45,99.98,99.02,99.58,700900,99.58
2013-12-19,98.11,99.11,97.99,99.02,655300,99.02
2013-12-18,96.11,98.82,95.87,98.80,570300,98.80
2013-12-17,96.68,97.19,95.64,96.10,242100,96.10
2013-12-16,96.27,97.08,96.27,96.72,288800,96.72
2013-12-13,96.31,96.49,95.50,96.03,503400,96.03
2013-12-12,95.25,96.47,95.11,96.01,622600,96.01
2013-12-11,96.91,97.20,94.50,95.25,1172900,95.25
2013-12-10,98.46,98.62,96.96,97.03,635900,97.03
2013-12-09,98.55,98.64,98.08,98.49,622600,98.49
2013-12-06,99.31,99.32,97.90,98.21,681100,98.21
2013-12-05,99.19,99.19,98.34,98.49,287700,98.49
2013-12-04,98.86,99.47,98.47,99.20,526500,99.20
