Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,41.42,41.46,40.59,40.73,1355200,40.73
2013-12-31,41.48,41.56,41.13,41.34,1096500,41.34
2013-12-30,41.31,41.67,41.22,41.36,1152000,41.36
2013-12-27,41.22,41.48,41.18,41.29,990700,41.29
2013-12-26,41.47,41.55,41.10,41.22,749500,41.22
2013-12-24,41.29,41.61,41.03,41.51,636900,41.51
2013-12-23,41.74,41.81,41.38,41.39,1225000,41.39
2013-12-20,41.36,41.98,41.33,41.56,6050800,41.56
2013-12-19,41.35,41.42,40.78,41.23,1600400,41.23
2013-12-18,40.90,41.58,40.44,41.55,2510900,41.55
2013-12-17,41.00,41.15,40.74,40.80,2025500,40.80
2013-12-16,40.65,41.37,40.64,41.02,1866700,41.02
2013-12-13,40.69,40.94,40.34,40.53,1330800,40.53
2013-12-12,40.52,41.03,40.49,40.69,1530500,40.69
2013-12-11,40.83,40.93,40.46,40.57,1678200,40.57
2013-12-10,41.55,41.64,40.83,40.87,2070600,40.87
2013-12-09,42.00,42.09,41.52,41.61,1538700,41.61
2013-12-06,41.41,42.00,41.41,41.99,1920600,41.99
2013-12-05,41.36,41.62,41.08,41.15,1913500,41.15
2013-12-04,40.93,41.47,40.75,41.41,1312600,41.41
