Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,156.52,157.11,155.11,156.03,407400,156.03
2013-12-31,157.07,157.50,156.35,156.86,340500,156.86
2013-12-30,156.63,157.57,155.95,157.04,283700,157.04
2013-12-27,158.75,159.04,156.17,156.96,341100,156.96
2013-12-26,155.83,159.22,155.77,157.80,443500,157.80
2013-12-24,156.17,157.71,155.98,156.94,289800,156.94
2013-12-23,156.61,157.02,155.44,156.59,535900,156.59
2013-12-20,154.95,156.57,153.49,155.28,955800,155.28
2013-12-19,155.92,156.13,152.73,153.52,716900,153.52
2013-12-18,152.61,156.69,150.74,156.15,1122400,156.15
2013-12-17,150.62,152.08,148.85,151.53,872800,151.53
2013-12-16,149.60,152.26,149.60,149.94,908400,149.94
2013-12-13,149.25,149.79,147.22,148.85,983100,148.85
2013-12-12,148.13,149.13,147.73,148.63,1036800,148.63
2013-12-11,151.20,151.86,147.69,147.89,867300,147.89
2013-12-10,150.32,155.05,149.26,151.60,935400,151.60
2013-12-09,149.55,152.48,149.29,149.99,835400,149.99
2013-12-06,148.25,150.26,147.40,149.55,755500,149.55
2013-12-05,147.93,148.06,146.22,146.95,648200,146.95
2013-12-04,148.95,150.41,146.57,148.08,715100,148.08
