Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,44.79,44.80,44.10,44.20,1503800,44.20
2013-12-31,44.91,45.00,44.75,44.87,1027000,44.87
2013-12-30,44.81,44.93,44.68,44.88,1019500,44.88
2013-12-27,44.91,45.02,44.80,44.91,702900,44.91
2013-12-26,45.10,45.12,44.80,44.98,987000,44.98
2013-12-24,44.78,45.09,44.78,44.92,766300,44.92
2013-12-23,44.46,44.79,44.45,44.73,2721900,44.73
2013-12-20,43.84,44.45,43.84,44.37,3735600,44.37
2013-12-19,43.91,44.09,43.69,43.89,2048400,43.89
2013-12-18,43.58,44.03,42.95,43.99,3454600,43.99
2013-12-17,43.66,43.72,43.35,43.46,2733300,43.46
2013-12-16,43.68,43.92,43.60,43.73,3054000,43.73
2013-12-13,43.85,43.97,43.55,43.62,1997700,43.62
2013-12-12,43.70,44.13,43.55,43.81,2350600,43.81
2013-12-11,44.50,44.64,43.72,43.76,2487900,43.76
2013-12-10,44.68,44.77,44.46,44.55,2321200,44.55
2013-12-09,44.85,44.93,44.61,44.65,1716100,44.65
2013-12-06,44.82,45.05,44.74,44.83,1687300,44.83
2013-12-05,44.47,44.61,44.27,44.34,2068500,44.34
2013-12-04,44.50,44.79,44.31,44.56,2322900,44.56
