Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,38.39,38.64,38.05,38.28,6257600,38.28
2013-12-31,38.49,38.68,38.33,38.57,6645100,38.57
2013-12-30,38.41,38.61,38.25,38.41,4259100,38.41
2013-12-27,38.23,38.40,37.76,38.30,4079000,38.30
2013-12-26,37.83,38.42,37.80,38.23,6959700,38.23
2013-12-24,37.54,37.77,37.53,37.70,3750300,37.70
2013-12-23,37.30,38.03,37.21,37.60,8121000,37.60
2013-12-20,37.01,37.30,36.83,37.01,8972100,37.01
2013-12-19,36.66,36.93,36.26,36.89,6595900,36.89
2013-12-18,36.81,37.07,36.09,36.65,11968900,36.65
2013-12-17,36.21,37.33,35.67,36.84,21451000,36.84
2013-12-16,34.53,35.45,34.40,35.33,12500200,35.33
2013-12-13,34.36,34.50,34.06,34.25,6821600,34.25
2013-12-12,34.41,34.50,33.98,34.36,7504200,34.36
2013-12-11,35.12,35.12,34.14,34.34,9694100,34.34
2013-12-10,35.84,35.90,35.31,35.48,5273900,35.10
2013-12-09,36.22,36.40,35.79,35.84,4440600,35.46
2013-12-06,36.50,36.64,36.07,36.21,5796700,35.82
2013-12-05,36.60,36.67,36.05,36.29,7099600,35.90
2013-12-04,36.30,36.91,35.83,36.78,14296600,36.39
