Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,20.29,20.34,19.67,19.81,2977800,19.81
2013-12-31,20.18,20.50,20.00,20.38,1277100,20.38
2013-12-30,20.50,20.57,20.08,20.11,1232500,20.11
2013-12-27,20.30,20.67,20.26,20.49,1031400,20.49
2013-12-26,20.50,20.66,20.20,20.30,758900,20.30
2013-12-24,20.25,20.57,20.18,20.46,708500,20.46
2013-12-23,20.19,20.54,20.08,20.26,1568900,20.26
2013-12-20,19.78,20.41,19.70,20.14,4674500,20.14
2013-12-19,19.14,19.72,19.07,19.60,3189600,19.60
2013-12-18,19.91,19.95,19.00,19.15,4734300,19.15
2013-12-17,19.01,19.89,19.00,19.86,5570800,19.86
2013-12-16,18.98,19.11,18.93,19.02,2363000,19.02
2013-12-13,19.20,19.39,18.91,19.02,2302000,19.02
2013-12-12,18.89,19.35,18.89,19.26,2427500,19.26
2013-12-11,19.26,19.32,18.84,18.89,1869400,18.89
2013-12-10,18.59,19.81,18.49,19.32,4151900,19.32
2013-12-09,18.30,18.56,18.19,18.55,2839400,18.55
2013-12-06,18.75,18.76,18.24,18.29,2445000,18.29
2013-12-05,18.46,18.74,18.40,18.62,1803000,18.62
2013-12-04,18.69,18.89,18.41,18.52,2000100,18.52
