Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,17.22,17.25,16.96,17.03,5538000,17.03
2013-12-31,17.25,17.36,17.10,17.25,2882900,17.25
2013-12-30,17.25,17.30,17.08,17.24,3066300,17.24
2013-12-27,17.26,17.35,17.13,17.20,1978000,17.20
2013-12-26,17.23,17.31,17.03,17.24,4156400,17.24
2013-12-24,17.07,17.19,16.95,17.18,1382700,17.18
2013-12-23,17.13,17.14,16.95,17.08,2875800,17.08
2013-12-20,16.89,17.11,16.55,17.01,7486500,17.01
2013-12-19,16.71,17.07,16.67,16.88,6948200,16.88
2013-12-18,16.77,17.00,16.61,17.00,7212900,17.00
2013-12-17,16.46,16.57,16.38,16.47,3388500,16.47
2013-12-16,16.47,16.60,16.42,16.46,3222100,16.46
2013-12-13,16.61,16.64,16.29,16.37,8555700,16.37
2013-12-12,16.52,16.85,16.46,16.76,6115000,16.64
2013-12-11,16.82,16.86,16.51,16.58,7613400,16.46
2013-12-10,16.69,16.92,16.69,16.81,4382100,16.68
2013-12-09,16.78,16.86,16.65,16.71,3542600,16.59
2013-12-06,16.55,16.79,16.48,16.77,4675600,16.64
2013-12-05,16.64,16.67,16.42,16.44,9657100,16.32
2013-12-04,16.76,16.92,16.61,16.68,10734000,16.56
