Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,31.38,31.58,31.17,31.27,2749500,31.27
2013-12-31,31.42,31.60,31.30,31.57,2898800,31.57
2013-12-30,31.33,31.48,31.29,31.43,1852000,31.43
2013-12-27,31.46,31.46,31.17,31.30,1508200,31.30
2013-12-26,31.45,31.60,31.19,31.33,2140200,31.33
2013-12-24,31.36,31.54,31.23,31.28,1479100,31.28
2013-12-23,31.52,31.71,31.30,31.33,2971200,31.33
2013-12-20,31.24,31.62,31.18,31.40,5437900,31.40
2013-12-19,31.15,31.49,31.03,31.27,4541200,31.27
2013-12-18,30.35,31.40,30.17,31.39,9472900,31.39
2013-12-17,30.46,30.53,29.94,30.10,5354900,30.10
2013-12-16,30.19,30.61,30.09,30.61,4291900,30.61
2013-12-13,29.81,30.21,29.77,30.01,4182000,30.01
2013-12-12,29.54,29.90,29.43,29.63,3877600,29.63
2013-12-11,29.99,29.99,29.20,29.30,3187700,29.30
2013-12-10,30.02,30.35,29.94,29.99,3572700,29.99
2013-12-09,29.96,30.27,29.82,30.08,4416700,30.08
2013-12-06,29.66,29.94,29.42,29.82,2676600,29.82
2013-12-05,29.38,29.53,29.13,29.42,3641800,29.42
2013-12-04,29.34,29.44,29.01,29.41,4490800,29.41
