Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,73.39,73.87,72.98,73.52,1284900,73.52
2013-12-31,73.38,74.18,73.38,73.69,608900,73.69
2013-12-30,72.96,73.65,72.84,73.32,525200,73.32
2013-12-27,73.54,73.54,72.76,73.01,405600,73.01
2013-12-26,73.00,73.36,72.80,73.20,567800,73.20
2013-12-24,72.61,73.07,72.53,72.71,236000,72.71
2013-12-23,73.27,73.48,72.10,72.49,829100,72.49
2013-12-20,72.25,73.09,72.10,72.97,1332800,72.97
2013-12-19,71.97,72.73,71.49,71.95,1243800,71.95
2013-12-18,70.76,72.48,70.30,72.42,1391600,72.42
2013-12-17,71.15,71.20,69.87,70.41,1134600,70.41
2013-12-16,70.96,71.38,70.62,71.25,1150600,71.25
2013-12-13,70.46,70.96,70.13,70.59,932900,70.59
2013-12-12,70.90,71.21,69.95,70.25,1528300,70.25
2013-12-11,71.67,71.90,70.65,70.74,889000,70.74
2013-12-10,72.46,72.46,71.33,71.67,1122100,71.67
2013-12-09,72.59,72.80,71.92,72.46,1082400,72.46
2013-12-06,72.18,72.43,71.54,72.40,921500,72.40
2013-12-05,71.44,72.15,70.93,71.19,966200,71.19
2013-12-04,71.67,72.62,71.02,71.70,1039100,71.70
