Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,29.97,31.15,29.92,30.28,11902400,30.28
2013-12-31,29.52,29.89,29.31,29.50,4658600,29.50
2013-12-30,30.32,30.47,29.37,29.52,5967700,29.52
2013-12-27,29.50,30.16,29.44,30.09,5534000,30.09
2013-12-26,29.53,29.92,29.40,29.43,4277600,29.43
2013-12-24,29.04,29.85,29.00,29.50,4682900,29.50
2013-12-23,28.05,29.13,28.00,29.05,7640000,29.05
2013-12-20,28.72,28.75,27.95,27.95,6693900,27.95
2013-12-19,27.65,28.77,27.64,28.64,11058300,28.64
2013-12-18,27.11,27.37,26.56,27.22,5790500,27.22
2013-12-17,27.02,27.40,26.99,27.15,5721700,27.15
2013-12-16,27.38,27.48,26.88,27.11,6609800,27.11
2013-12-13,26.98,27.50,26.80,27.31,7049300,27.31
2013-12-12,26.37,26.61,26.02,26.51,4341400,26.51
2013-12-11,27.10,27.14,26.20,26.27,5851300,26.27
2013-12-10,26.75,27.29,26.75,27.08,5294400,27.08
2013-12-09,26.33,26.97,26.32,26.82,4922900,26.82
2013-12-06,27.32,27.45,26.23,26.33,7000700,26.33
2013-12-05,27.03,27.24,26.76,26.95,5759900,26.95
2013-12-04,26.63,27.15,26.58,27.06,6407900,27.06
