Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,100.60,100.76,99.39,99.75,11028100,99.75
2013-12-31,100.49,101.39,100.43,101.20,8509600,101.20
2013-12-30,101.53,101.55,100.31,100.31,9007900,100.31
2013-12-27,101.24,101.74,100.99,101.51,10209000,101.51
2013-12-26,99.42,101.03,99.38,100.90,9531200,100.90
2013-12-24,98.33,99.44,98.33,99.22,4168300,99.22
2013-12-23,99.00,99.29,98.39,98.51,10127600,98.51
2013-12-20,99.39,99.60,98.60,98.68,23331000,98.68
2013-12-19,99.50,99.60,99.00,99.43,12905900,99.43
2013-12-18,97.43,99.95,97.01,99.54,21331300,99.54
2013-12-17,97.02,97.13,96.03,96.75,14897200,96.75
2013-12-16,96.28,98.88,96.13,97.22,23209400,97.22
2013-12-13,95.13,95.92,94.66,95.31,10629500,95.31
2013-12-12,94.50,95.88,94.28,95.36,15558300,95.36
2013-12-11,95.38,95.54,94.16,94.26,12682000,94.26
2013-12-10,95.90,95.98,95.39,95.71,9868100,95.71
2013-12-09,95.95,96.25,95.60,95.84,15516700,95.84
2013-12-06,94.97,95.71,94.59,95.65,12026300,95.65
2013-12-05,94.07,94.65,93.92,94.13,10586000,94.13
2013-12-04,94.19,94.90,93.92,94.67,13074000,94.67
