Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,47.94,48.31,47.78,47.96,1025400,47.96
2013-12-31,48.55,48.69,48.32,48.48,434400,48.48
2013-12-30,48.49,48.50,48.32,48.47,287500,48.47
2013-12-27,48.70,48.70,48.26,48.34,511800,48.34
2013-12-26,48.77,48.96,48.49,48.55,464700,48.55
2013-12-24,48.96,49.07,48.54,48.74,354600,48.74
2013-12-23,48.53,48.99,48.30,48.86,753800,48.80
2013-12-20,48.46,48.61,48.02,48.43,5960900,48.37
2013-12-19,47.99,48.47,47.62,48.33,882900,48.27
2013-12-18,47.57,48.22,47.10,48.21,804800,48.15
2013-12-17,47.64,47.81,47.17,47.46,677800,47.40
2013-12-16,47.97,48.23,47.47,47.67,871200,47.61
2013-12-13,48.41,48.61,47.80,47.84,822400,47.78
2013-12-12,48.47,48.60,47.93,48.24,1286900,48.18
2013-12-11,48.50,50.99,48.36,48.49,2004000,48.43
2013-12-10,47.49,48.18,47.44,48.07,707300,48.01
2013-12-09,47.87,48.05,47.52,47.57,602900,47.51
2013-12-06,47.50,48.08,47.24,47.87,751600,47.81
2013-12-05,47.26,47.48,46.83,46.94,803000,46.88
2013-12-04,46.96,47.66,46.86,47.28,753100,47.22
