Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,34.39,34.50,33.99,34.16,765100,34.16
2013-12-31,34.65,34.87,34.59,34.60,558000,34.60
2013-12-30,34.49,34.84,34.44,34.58,561700,34.58
2013-12-27,34.69,34.88,34.47,34.55,242700,34.55
2013-12-26,34.51,34.79,34.48,34.69,270800,34.69
2013-12-24,34.23,34.50,34.18,34.33,311200,34.33
2013-12-23,34.31,34.55,34.17,34.19,704900,34.19
2013-12-20,34.29,34.46,33.95,34.08,1959300,34.08
2013-12-19,34.52,34.79,34.07,34.16,1205100,34.16
2013-12-18,34.20,34.74,33.96,34.70,1218900,34.70
2013-12-17,33.85,34.11,33.72,34.10,1044000,34.10
2013-12-16,33.87,34.23,33.79,33.89,867300,33.89
2013-12-13,33.53,33.90,33.51,33.81,1077600,33.81
2013-12-12,32.94,33.68,32.79,33.51,1312600,33.51
2013-12-11,33.51,33.56,32.89,32.91,938200,32.91
2013-12-10,33.53,33.93,33.53,33.54,785500,33.54
2013-12-09,33.64,33.95,33.55,33.63,980400,33.63
2013-12-06,34.08,34.08,33.41,33.51,1535600,33.51
2013-12-05,33.52,33.98,33.43,33.78,1124500,33.78
2013-12-04,33.45,33.73,33.07,33.56,1062500,33.56
