Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,92.63,92.82,91.97,92.24,868800,92.24
2013-12-31,93.50,93.65,92.88,93.19,650000,93.19
2013-12-30,93.24,93.41,92.90,93.20,623200,93.20
2013-12-27,93.33,93.54,92.92,93.24,360300,93.24
2013-12-26,93.14,93.70,93.03,93.43,288800,93.43
2013-12-24,93.00,93.48,92.76,93.10,395800,93.10
2013-12-23,93.12,93.53,92.73,93.43,635700,93.23
2013-12-20,92.80,93.12,92.35,92.74,1341800,92.54
2013-12-19,93.63,93.63,91.47,92.61,1061000,92.41
2013-12-18,90.77,92.90,90.41,92.80,1430600,92.60
2013-12-17,90.75,90.89,89.92,90.63,899400,90.44
2013-12-16,90.74,91.50,90.32,90.40,903900,90.21
2013-12-13,90.46,90.74,89.93,90.51,768700,90.32
2013-12-12,89.83,90.41,89.62,90.00,996700,89.81
2013-12-11,92.05,92.06,90.17,90.34,1021100,90.15
2013-12-10,92.11,92.49,91.73,91.88,1031200,91.68
2013-12-09,91.76,92.69,91.47,92.44,1150400,92.24
2013-12-06,91.50,92.38,91.50,92.02,887900,91.82
2013-12-05,90.13,91.12,90.04,90.45,2092900,90.26
2013-12-04,89.85,90.47,89.58,90.07,1028500,89.88
