Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,32.53,32.66,32.11,32.36,2576100,32.36
2013-12-31,32.80,32.81,32.46,32.69,2270400,32.69
2013-12-30,32.74,32.84,32.54,32.67,1803600,32.67
2013-12-27,32.69,32.77,32.47,32.67,1322400,32.67
2013-12-26,32.50,32.78,32.40,32.59,1504700,32.59
2013-12-24,32.30,32.48,32.07,32.37,624300,32.37
2013-12-23,32.61,32.64,32.16,32.37,2219800,32.37
2013-12-20,32.33,32.69,32.26,32.38,3681000,32.38
2013-12-19,32.14,32.37,31.66,32.31,3447300,32.31
2013-12-18,31.61,32.20,31.30,32.17,3684400,32.17
2013-12-17,31.91,31.97,31.32,31.64,2629700,31.64
2013-12-16,31.67,32.00,31.55,32.00,2635600,32.00
2013-12-13,31.31,31.89,31.23,31.58,3286500,31.58
2013-12-12,30.98,31.41,30.98,31.17,3603500,31.17
2013-12-11,31.43,31.54,30.76,31.09,4436300,31.09
2013-12-10,31.62,31.62,31.20,31.36,2941900,31.36
2013-12-09,31.56,31.94,31.39,31.75,3073800,31.75
2013-12-06,31.62,31.69,31.30,31.54,3263700,31.54
2013-12-05,31.20,31.71,31.00,31.44,6498000,31.44
2013-12-04,31.07,31.34,30.96,31.21,3196400,31.21
