Mark Burgess ,26,20,0,336,47,16.80,515,65.24,0,0,19,2,8,0
Richard Collinge ,15,9,3,34,9,5.66,62,54.83,0,0,,1,0,<b>First-class</b>
Peter Coman ,3,3,0,62,38,20.66,104,59.61,0,0,2,0,<b>First-class</b>,46
Bev Congdon ,11,9,3,338,101,56.33,472,71.61,1,2,29,2,0,0
Dayle Hadlee ,11,7,2,40,20,8.00,85,47.05,0,0,3,0,2,0
Sir Richard Hadlee ,115,98,17,1751,79,21.61,2319,75.50,0,4,,27,0,<b>First-class</b>
Brian Hastings ,11,9,1,151,37,18.87,271,55.71,0,0,,4,0,<b>First-class</b>
Hedley Howarth ,9,5,2,18,11,6.00,26,69.23,0,0,,3,0,<b>First-class</b>
Glenn Turner ,41,40,6,1598,171*,47.00,2348,68.05,3,9,,13,0,<b>First-class</b>
Graham Vivian ,1,1,0,14,14,14.00,30,46.66,0,0,,0,0,<b>First-class</b>
Ken Wadsworth ,13,10,1,258,104,28.66,334,77.24,1,0,,13,2,<b>First-class</b>
Vic Pollard ,3,2,0,67,55,33.50,145,46.20,0,1,9,1,1,0
Rodney Redmond ,2,1,0,3,3,3.00,11,27.27,0,0,0,0,0,0
Bruce Taylor ,2,1,0,22,22,22.00,42,52.38,0,0,4,0,1,0
Lance Cairns ,78,65,6,987,60,16.72,941,104.88,0,2,,19,0,<b>First-class</b>
David O'Sullivan ,3,2,1,2,1*,2.00,5,40.00,0,0,0,0,0,0
John Parker ,24,20,0,248,66,12.40,403,61.53,0,1,,11,1,<b>First-class</b>
Barry Hadlee ,2,2,1,26,19,26.00,93,27.95,0,0,1,0,0,0
Geoff Howarth ,70,65,5,1384,76,23.06,2301,60.14,0,6,,16,0,<b>First-class</b>
John Morrison ,18,15,3,252,55,21.00,472,53.38,0,1,,6,0,<b>First-class</b>
Brian McKechnie ,14,8,4,54,27,13.50,145,37.24,0,0,2,0,<b>First-class</b>,50
Jock Edwards ,6,6,0,138,41,23.00,191,72.25,0,0,,,5,0
Robert Anderson ,2,2,1,16,12,16.00,46,34.78,0,0,0,1,0,<b>First-class</b>
Murray Parker ,1,1,0,0,0,0.00,3,0.00,0,0,0,0,1,0
Andy Roberts ,1,1,0,16,16,16.00,24,66.66,0,0,,1,0,<b>First-class</b>
Gary Troup ,22,12,8,101,39,25.25,140,72.14,0,0,7,2,2,0
Stephen Boock ,14,7,4,30,12,10.00,31,96.77,0,0,2,0,5,0
John Wright ,149,148,1,3891,101,26.46,6804,57.18,1,24,,51,0,<b>First-class</b>
Brendon Bracewell ,1,1,1,0,0*,-,4,0.00,0,0,0,0,0,0
Bruce Edgar ,64,64,5,1814,102*,30.74,3685,49.22,1,10,,12,0,<b>First-class</b>
