Geoff Boycott ,36,34,4,1082,105,36.06,2020,53.56,1,9,84,0,5,0
Colin Cowdrey ,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,0
Basil D'Oliveira ,4,4,1,30,17,10.00,43,69.76,0,0,3,0,1,0
John Edrich ,7,6,0,223,90,37.16,325,68.61,0,2,13,1,0,0
Keith Fletcher ,24,22,3,757,131,39.84,1134,66.75,1,5,,4,0,<b>First-class</b>
John Hampshire ,3,3,1,48,25*,24.00,86,55.81,0,0,7,0,0,0
Ray Illingworth ,3,2,0,5,4,2.50,18,27.77,0,0,0,0,1,0
Alan Knott ,20,14,4,200,50,20.00,247,80.97,0,1,17,1,15,1
Peter Lever ,10,3,2,17,8*,17.00,24,70.83,0,0,0,0,2,0
Ken Shuttleworth ,1,1,0,7,7,7.00,19,36.84,0,0,0,0,1,0
John Snow ,9,4,2,9,5*,4.50,41,21.95,0,0,0,0,1,0
Dennis Amiss ,18,18,0,859,137,47.72,1185,72.48,4,1,94,1,2,0
Geoff Arnold ,14,6,3,48,18*,16.00,75,64.00,0,0,4,0,2,0
Brian Close ,3,3,0,49,43,16.33,50,98.00,0,0,7,1,1,0
Tony Greig ,22,19,3,269,48,16.81,378,71.16,0,0,19,3,7,0
Bob Woolmer ,6,4,0,21,9,5.25,46,45.65,0,0,1,0,3,0
Barry Wood ,13,12,2,314,78*,31.40,647,48.53,0,2,,,6,0
Frank Hayes ,6,6,1,128,52,25.60,235,54.46,0,1,18,2,0,0
Graham Roope ,8,8,0,173,44,21.62,342,50.58,0,0,7,2,2,0
Derek Underwood ,26,13,4,53,17,5.88,133,39.84,0,0,5,0,6,0
Mike Denness ,12,11,2,264,66,29.33,417,63.30,0,1,17,2,1,0
Mike Hendrick ,22,10,5,6,2*,1.20,22,27.27,0,0,0,0,5,0
Chris Old ,32,25,7,338,51*,18.77,401,84.28,0,1,29,6,8,0
Mike Smith ,5,5,0,70,31,14.00,159,44.02,0,0,4,0,1,0
Bob Taylor ,27,17,7,130,26*,13.00,312,41.66,0,0,7,0,26,6
Bob Willis ,64,22,14,83,24,10.37,157,52.86,0,0,6,0,22,0
John Jameson ,3,3,0,60,28,20.00,158,37.97,0,0,3,0,0,0
David Lloyd ,8,8,1,285,116*,40.71,526,54.18,1,0,25,1,3,0
Robin Jackman ,15,9,1,54,14,6.75,93,58.06,0,0,3,0,4,0
Brian Luckhurst ,3,3,0,15,14,5.00,69,21.73,0,0,1,0,0,0
Fred Titmus ,2,1,0,11,11,11.00,32,34.37,0,0,1,0,1,0
Graham Barlow ,6,6,1,149,80*,29.80,255,58.43,0,1,18,0,4,0
Sir Ian Botham ,116,106,15,2113,79,23.21,2671,79.10,0,9,197,44,36,0
Graham Gooch ,125,122,6,4290,142,36.98,6932,61.88,8,23,,15,45,0
John Lever ,22,11,4,56,27*,8.00,152,36.84,0,0,2,0,6,0
David Steele ,1,1,0,8,8,8.00,12,66.66,0,0,1,0,0,0
Derek Randall ,49,45,5,1067,88,26.67,1702,62.69,0,5,82,7,25,0
Mike Brearley ,25,24,3,510,78,24.28,1120,45.53,0,3,47,0,12,0
Peter Willey ,26,24,1,538,64,23.39,855,62.92,0,5,49,0,4,0
Geoff Miller ,25,18,2,136,46,8.50,265,51.32,0,0,12,0,4,0
Paul Downton ,28,20,5,242,44*,16.13,358,67.59,0,0,13,0,26,3
